review_id,order_id,customer_id,restaurant_id,courier_id,rating,language,review_text,review_date
40,40,394,19,100,3,en,"Delivery took about as long as the app estimated. Vegan Chili tasted fine, would order again if nothing closer is open.",2023-07-09
41,41,419,13,78,1,en,"Gallegos, Taylor and West used to be reliable but the last few orders have been late and the Dish portion has shrunk.",2024-08-14
42,42,247,24,71,5,en,"Five stars. Bell, Williamson and Duncan nailed the Waldorf Salad again, still hot and packed carefully.",2024-02-22
43,43,146,6,98,5,en,"Best Caprese Salad in the area, hands down. Neal, Gomez and Watkins never disappoints.",2022-10-27
44,44,426,28,12,1,en,"Disappointed with Combs-Stone - the Tagliatelle al Ragù arrived cold and the order took much longer than promised. Had to track down the courier ourselves, no updates on the app.",2024-06-16
45,45,213,4,51,5,en,"Five stars. Howell Group nailed the Diavola again, still hot and packed carefully.",2023-02-16
46,46,192,15,4,5,en,Really happy with this order - Caesar Salad was fresh and the courier kept us updated the whole way.,2024-10-18
47,47,71,3,37,1,en,"Disappointed with Garcia, Pena and Adams - the Fettuccine Alfredo arrived cold and the order took much longer than promised.",2024-02-03
48,48,241,29,79,4,en,"Five stars. Cooper, Ross and Perkins nailed the Dish again, still hot and packed carefully. Courier was polite and on time.",2024-09-22
49,49,111,10,71,4,en,Really happy with this order - Prosciutto e Funghi was fresh and the courier kept us updated the whole way.,2023-08-03
50,50,122,20,16,3,en,"Garza-Shea got the order right this time, Lentil Soup was okay, packaging could be better.",2022-09-19
51,51,57,32,77,3,en,"Delivery took about as long as the app estimated. Classic Cheeseburger tasted fine, would order again if nothing closer is open.",2022-01-20
52,52,124,46,19,1,en,Order was late and the courier never called when they couldn't find our building. Cobb Salad was barely warm.,2023-04-19
53,53,293,27,24,2,en,Disappointed with Rodriguez-Murray - the Tofu Stir-Fry arrived cold and the order took much longer than promised.,2024-01-06
54,54,35,34,70,5,en,The Prosciutto e Funghi from Houston Inc was excellent and the courier was friendly and quick. Will order again!,2024-05-14
55,55,11,25,61,3,en,Average experience. Greek Salad was decent but a bit pricey for the portion size.,2023-12-01
56,56,383,2,46,3,en,"Jackson, Walters and Michael got the order right this time, Tagliatelle al Ragù was okay, packaging could be better.",2023-01-14
57,57,377,49,43,1,en,"Disappointed with Myers, Shelton and Garcia - the Cheesecake arrived cold and the order took much longer than promised. Had to track down the courier ourselves, no updates on the app.",2022-02-19
58,58,417,42,23,3,en,"Olson-Estrada got the order right this time, Diavola was okay, packaging could be better.",2023-05-27
59,59,94,9,9,5,en,"Five stars. Lowe, Ewing and Short nailed the Diavola again, still hot and packed carefully. Delivery driver even called ahead, nice touch.",2024-05-03
60,60,151,13,6,2,en,Order was late and the courier never called when they couldn't find our building. Dish was barely warm. Courier was rude when we asked about the delay.,2024-08-29
61,61,264,26,70,3,en,"Delivery took about as long as the app estimated. Fettuccine Alfredo tasted fine, would order again if nothing closer is open.",2022-10-08
62,62,183,50,7,2,en,"Disappointed with Kelly, Harris and Pruitt - the Dish arrived cold and the order took much longer than promised. Courier was rude when we asked about the delay.",2023-01-01
63,63,224,26,96,1,en,"Disappointed with Lang PLC - the Fettuccine Alfredo arrived cold and the order took much longer than promised. Had to track down the courier ourselves, no updates on the app.",2024-09-07
64,64,499,12,64,4,en,Really happy with this order - Ravioli Ricotta e Spinaci was fresh and the courier kept us updated the whole way.,2023-07-03
65,65,411,6,94,3,en,Average experience. Crème Brûlée was decent but a bit pricey for the portion size.,2022-03-30
66,66,151,21,14,5,en,"Best Quattro Formaggi in the area, hands down. Duran PLC never disappoints.",2022-12-26
67,67,229,39,92,5,en,"Fast delivery and the Cobb Salad arrived perfectly hot. Great job Meyer-Carrillo! Delivery driver even called ahead, nice touch.",2022-07-05
68,68,229,3,94,2,en,Order was late and the courier never called when they couldn't find our building. Ravioli Ricotta e Spinaci was barely warm. Courier was rude when we asked about the delay.,2023-11-08
69,69,328,4,10,5,en,"Fast delivery and the Diavola arrived perfectly hot. Great job Howell Group! Delivery driver even called ahead, nice touch.",2023-11-30
70,70,411,48,87,2,en,Order was late and the courier never called when they couldn't find our building. Spaghetti Carbonara was barely warm.,2024-11-13
71,71,348,29,5,5,en,"Fast delivery and the Grilled Vegetable Skewers arrived perfectly hot. Great job Cooper, Ross and Perkins!",2022-03-16
72,72,197,37,5,3,en,"Guzman, Brown and Larsen got the order right this time, Greek Salad was okay, packaging could be better.",2022-06-19
73,73,191,29,98,5,en,"Best Dish in the area, hands down. Cooper, Ross and Perkins never disappoints. Delivery driver even called ahead, nice touch.",2023-09-24
74,74,204,21,84,4,en,Fast delivery and the Quattro Formaggi arrived perfectly hot. Great job Duran PLC!,2022-10-02
75,75,377,12,64,3,en,"Delivery took about as long as the app estimated. Dish tasted fine, would order again if nothing closer is open.",2023-03-03
76,76,397,17,91,4,en,"Best Dish in the area, hands down. Rojas-Tanner never disappoints. Courier was polite and on time.",2022-08-25
77,77,470,32,26,4,en,"Five stars. Jackson, Bowman and Drake nailed the Dish again, still hot and packed carefully.",2022-06-01
78,78,89,46,57,4,en,The Pepperoni from Smith Group was excellent and the courier was friendly and quick. Will order again!,2024-06-09
79,79,178,46,9,3,en,"The Pepperoni from Smith Group was fine, nothing special. Delivery was on time at least.",2023-08-21
80,80,365,46,90,4,en,"Fast delivery and the Pepperoni arrived perfectly hot. Great job Smith Group! Delivery driver even called ahead, nice touch.",2022-07-11
81,81,115,8,26,3,en,"Bell-Jimenez got the order right this time, order was okay, packaging could be better.",2022-09-18
82,82,185,36,74,5,en,"Fast delivery and the Falafel Bowl arrived perfectly hot. Great job Sanders LLC! Delivery driver even called ahead, nice touch.",2023-05-31
83,83,314,6,9,1,en,"Neal, Gomez and Watkins used to be reliable but the last few orders have been late and the Caprese Salad portion has shrunk.",2023-03-16
84,84,211,50,53,4,en,"Best Dish in the area, hands down. Kelly, Harris and Pruitt never disappoints.",2022-03-22
85,85,38,29,60,1,en,"The Mushroom Swiss Burger from Cooper, Ross and Perkins was soggy by the time it got to us. Not ordering from here again.",2023-07-24
86,86,328,38,24,3,en,"The Bacon Burger from Nelson LLC was fine, nothing special. Delivery was on time at least.",2023-04-23
87,87,266,10,39,3,en,"Delivery took about as long as the app estimated. Dish tasted fine, would order again if nothing closer is open.",2022-06-27
88,88,486,34,37,3,en,"The Vegan Buddha Bowl from Houston Inc was fine, nothing special. Delivery was on time at least.",2022-10-04
89,89,65,41,39,5,en,Really happy with this order - Dish was fresh and the courier kept us updated the whole way.,2023-08-09
90,90,87,38,75,3,en,"Nelson LLC got the order right this time, Calzone was okay, packaging could be better.",2022-07-10
91,91,22,2,11,2,en,"Jackson, Walters and Michael used to be reliable but the last few orders have been late and the Dish portion has shrunk.",2024-11-06
92,92,108,50,74,3,en,"The Dish from Kelly, Harris and Pruitt was fine, nothing special. Delivery was on time at least.",2023-11-12
93,93,456,41,70,2,en,Order was late and the courier never called when they couldn't find our building. Caprese Salad was barely warm.,2023-12-05
94,94,126,44,52,4,en,The Tiramisu from Whitaker-Paul was excellent and the courier was friendly and quick. Will order again!,2023-05-15
95,95,226,27,62,5,en,The Grilled Vegetable Skewers from Rodriguez-Murray was excellent and the courier was friendly and quick. Will order again!,2022-08-14
96,96,442,46,41,4,en,"Five stars. Smith Group nailed the Classic Cheeseburger again, still hot and packed carefully.",2024-12-08
97,97,264,36,14,4,en,"Five stars. Sanders LLC nailed the Falafel Bowl again, still hot and packed carefully.",2022-09-22
98,98,231,16,19,1,en,Order was late and the courier never called when they couldn't find our building. Lasagna was barely warm.,2022-02-26
99,99,215,16,21,3,en,Average experience. Quattro Formaggi was decent but a bit pricey for the portion size.,2024-10-21
100,100,391,11,64,4,en,Really happy with this order - Dish was fresh and the courier kept us updated the whole way.,2023-05-30
101,101,12,6,51,5,en,"Fast delivery and the Crème Brûlée arrived perfectly hot. Great job Neal, Gomez and Watkins!",2023-05-18
102,102,299,23,7,2,en,Wrong items in the bag - we ordered Dish and got something else entirely. Refund requested. Courier was rude when we asked about the delay.,2022-11-08
103,103,275,1,14,2,en,Wrong items in the bag - we ordered Lasagna and got something else entirely. Refund requested. Courier was rude when we asked about the delay.,2022-05-28
104,104,188,49,52,1,en,"Disappointed with Myers, Shelton and Garcia - the Greek Salad arrived cold and the order took much longer than promised.",2022-02-20
105,105,288,13,47,5,en,"Best Dish in the area, hands down. Gallegos, Taylor and West never disappoints. Courier was polite and on time.",2022-11-15
106,106,231,49,71,3,en,"Myers, Shelton and Garcia got the order right this time, Ravioli Ricotta e Spinaci was okay, packaging could be better.",2024-06-26
107,107,500,7,51,5,en,"Fast delivery and the Dish arrived perfectly hot. Great job Castaneda, Day and Weaver!",2024-05-23
108,108,481,24,97,1,en,Wrong items in the bag - we ordered Diavola and got something else entirely. Refund requested.,2022-08-09
109,109,257,3,6,4,en,Really happy with this order - Vegan Chili was fresh and the courier kept us updated the whole way. Courier was polite and on time.,2022-06-02
110,110,266,30,20,4,en,"The Tagliatelle al Ragù from Rodriguez, James and Frank was excellent and the courier was friendly and quick. Will order again!",2024-09-06
111,111,477,40,41,2,en,The Ravioli Ricotta e Spinaci from Hawkins PLC was soggy by the time it got to us. Not ordering from here again.,2023-03-10
112,112,173,33,66,3,en,"Delivery took about as long as the app estimated. Double Beef Burger tasted fine, would order again if nothing closer is open.",2023-06-24
113,113,418,2,48,1,en,Wrong items in the bag - we ordered Tagliatelle al Ragù and got something else entirely. Refund requested.,2024-01-10
114,114,158,47,89,3,en,Average experience. Cobb Salad was decent but a bit pricey for the portion size.,2022-02-02
115,115,496,42,100,2,en,"The Dish from Olson-Estrada was soggy by the time it got to us. Not ordering from here again. Had to track down the courier ourselves, no updates on the app.",2023-09-26
116,116,246,11,68,3,en,"The Dish from Dominguez-Short was fine, nothing special. Delivery was on time at least.",2024-03-04
117,117,421,44,32,5,en,The Fettuccine Alfredo from Whitaker-Paul was excellent and the courier was friendly and quick. Will order again!,2023-09-23
118,118,10,29,41,4,en,"Fast delivery and the Dish arrived perfectly hot. Great job Cooper, Ross and Perkins!",2022-06-19
119,119,257,50,79,4,en,"The Caesar Salad from Kelly, Harris and Pruitt was excellent and the courier was friendly and quick. Will order again! Courier was polite and on time.",2024-08-15
120,120,71,34,27,1,en,"Disappointed with Houston Inc - the Prosciutto e Funghi arrived cold and the order took much longer than promised. Had to track down the courier ourselves, no updates on the app.",2022-12-24
121,121,193,21,23,1,en,Duran PLC used to be reliable but the last few orders have been late and the Vegan Chili portion has shrunk.,2024-09-29
122,122,182,44,99,1,en,"Whitaker-Paul used to be reliable but the last few orders have been late and the Tiramisu portion has shrunk. Had to track down the courier ourselves, no updates on the app.",2023-12-07
123,123,248,13,32,1,en,Wrong items in the bag - we ordered Chocolate Brownie and got something else entirely. Refund requested.,2023-09-07
124,124,395,19,91,1,en,The Vegan Chili from Thomas-Williamson was soggy by the time it got to us. Not ordering from here again. Courier was rude when we asked about the delay.,2024-01-30
125,125,246,23,72,3,en,"Ellis, Parks and Jimenez got the order right this time, Bacon Burger was okay, packaging could be better.",2022-11-12
126,126,459,26,45,3,en,"The Fettuccine Alfredo from Lang PLC was fine, nothing special. Delivery was on time at least.",2022-11-16
127,127,41,23,57,4,en,Really happy with this order - Tiramisu was fresh and the courier kept us updated the whole way.,2022-10-12
128,128,104,35,35,4,en,Really happy with this order - Dish was fresh and the courier kept us updated the whole way. Courier was polite and on time.,2024-02-04
129,129,316,48,76,2,en,Williams LLC used to be reliable but the last few orders have been late and the Dish portion has shrunk.,2022-09-25
130,130,327,15,7,3,en,Average experience. Caesar Salad was decent but a bit pricey for the portion size.,2023-04-01
131,131,349,50,18,5,en,"Best Dish in the area, hands down. Kelly, Harris and Pruitt never disappoints.",2024-11-23
132,132,335,31,62,3,en,"Delivery took about as long as the app estimated. Napolitana tasted fine, would order again if nothing closer is open.",2022-08-07
133,133,147,42,8,2,en,The Dish from Olson-Estrada was soggy by the time it got to us. Not ordering from here again.,2023-12-17
134,134,379,47,5,1,en,The Apple Strudel from Herman-Williams was soggy by the time it got to us. Not ordering from here again.,2023-04-05
135,135,429,26,64,3,en,"Delivery took about as long as the app estimated. Fettuccine Alfredo tasted fine, would order again if nothing closer is open.",2024-10-24
136,136,5,20,73,5,en,"Best BBQ Burger in the area, hands down. Garza-Shea never disappoints.",2022-05-01
137,137,233,42,70,4,en,"Five stars. Olson-Estrada nailed the Diavola again, still hot and packed carefully.",2023-06-26
138,138,240,18,25,2,en,"Hensley, Johnson and Adams used to be reliable but the last few orders have been late and the Penne Arrabbiata portion has shrunk.",2022-12-31
139,139,132,46,24,2,en,Wrong items in the bag - we ordered Classic Cheeseburger and got something else entirely. Refund requested.,2024-03-18
140,140,346,49,25,3,en,"Delivery took about as long as the app estimated. Cheesecake tasted fine, would order again if nothing closer is open.",2023-11-03
141,141,264,21,12,3,en,"Delivery took about as long as the app estimated. Dish tasted fine, would order again if nothing closer is open.",2024-01-05
142,142,245,21,32,4,en,The Vegan Chili from Duran PLC was excellent and the courier was friendly and quick. Will order again!,2022-10-15
143,143,386,18,43,5,en,"Best Penne Arrabbiata in the area, hands down. Hensley, Johnson and Adams never disappoints.",2023-10-02
144,144,335,24,89,3,en,"Bell, Williamson and Duncan got the order right this time, Diavola was okay, packaging could be better.",2022-03-10
145,145,158,11,52,4,en,"Five stars. Dominguez-Short nailed the Tofu Stir-Fry again, still hot and packed carefully.",2023-07-08
146,146,61,41,38,3,en,"The Dish from Peters, Golden and Ballard was fine, nothing special. Delivery was on time at least.",2023-11-06
147,147,245,10,59,1,en,"Wrong items in the bag - we ordered Fettuccine Alfredo and got something else entirely. Refund requested. Had to track down the courier ourselves, no updates on the app.",2023-02-15
148,148,388,35,86,2,en,"Order was late and the courier never called when they couldn't find our building. Dish was barely warm. Had to track down the courier ourselves, no updates on the app.",2024-04-15
149,149,229,34,91,3,en,"Houston Inc got the order right this time, Prosciutto e Funghi was okay, packaging could be better.",2022-03-27
150,150,425,36,65,3,en,Average experience. Falafel Bowl was decent but a bit pricey for the portion size.,2023-09-20
151,151,168,34,57,4,en,"Best Prosciutto e Funghi in the area, hands down. Houston Inc never disappoints.",2024-01-17
152,152,461,33,58,3,en,"The Prosciutto e Funghi from Murphy and Sons was fine, nothing special. Delivery was on time at least.",2023-05-13
153,153,234,37,8,1,en,"The Dish from Guzman, Brown and Larsen was soggy by the time it got to us. Not ordering from here again.",2023-05-23
154,154,12,26,33,4,en,Really happy with this order - Dish was fresh and the courier kept us updated the whole way.,2024-03-28
155,155,217,23,90,5,en,"Best Dish in the area, hands down. Ellis, Parks and Jimenez never disappoints.",2023-08-20
156,156,479,31,5,3,en,"Delivery took about as long as the app estimated. Napolitana tasted fine, would order again if nothing closer is open.",2023-03-25
157,157,374,42,54,3,en,"Delivery took about as long as the app estimated. Dish tasted fine, would order again if nothing closer is open.",2024-12-24
158,158,446,25,49,4,en,"Five stars. Hill-Mckay nailed the Caprese Salad again, still hot and packed carefully.",2024-01-21
159,159,335,23,16,2,en,Wrong items in the bag - we ordered Tiramisu and got something else entirely. Refund requested.,2024-12-25
160,160,66,47,29,5,en,The Cobb Salad from Herman-Williams was excellent and the courier was friendly and quick. Will order again! Courier was polite and on time.,2024-04-09
161,161,345,47,70,3,en,"Herman-Williams got the order right this time, Caesar Salad was okay, packaging could be better.",2023-08-08
162,162,236,23,20,2,en,Wrong items in the bag - we ordered Tiramisu and got something else entirely. Refund requested.,2022-07-29
163,163,415,43,54,2,en,"Disappointed with Arnold, Montgomery and Doyle - the Dish arrived cold and the order took much longer than promised.",2024-04-20
164,164,106,5,13,2,en,"Wallace, Ortiz and Murray used to be reliable but the last few orders have been late and the Dish portion has shrunk.",2022-02-08
165,165,380,3,52,5,en,"Best Pepperoni in the area, hands down. Garcia, Pena and Adams never disappoints.",2022-09-15
166,166,72,33,38,3,en,"The Prosciutto e Funghi from Murphy and Sons was fine, nothing special. Delivery was on time at least.",2024-06-14
167,167,307,50,87,3,en,"The Dish from Kelly, Harris and Pruitt was fine, nothing special. Delivery was on time at least.",2022-09-19
168,168,267,15,53,3,en,Average experience. Apple Strudel was decent but a bit pricey for the portion size.,2022-11-01
169,169,348,28,72,5,en,"Five stars. Combs-Stone nailed the Pepperoni again, still hot and packed carefully.",2022-02-22
170,170,344,25,68,1,en,"Wrong items in the bag - we ordered Tagliatelle al Ragù and got something else entirely. Refund requested. Had to track down the courier ourselves, no updates on the app.",2024-02-03
171,171,154,25,24,5,en,"Best Greek Salad in the area, hands down. Hill-Mckay never disappoints.",2023-06-05
172,172,440,46,19,3,en,"Delivery took about as long as the app estimated. Classic Cheeseburger tasted fine, would order again if nothing closer is open.",2024-10-01
173,173,286,34,18,4,en,Fast delivery and the Vegan Buddha Bowl arrived perfectly hot. Great job Houston Inc!,2022-09-24
174,174,332,6,58,5,en,"Really happy with this order - Crème Brûlée was fresh and the courier kept us updated the whole way. Delivery driver even called ahead, nice touch.",2022-04-13
175,175,138,25,87,3,en,"The Greek Salad from Hill-Mckay was fine, nothing special. Delivery was on time at least.",2023-10-26
176,176,412,49,76,4,en,Really happy with this order - Greek Salad was fresh and the courier kept us updated the whole way.,2023-09-08
177,177,446,22,39,3,en,"The Diavola from Sanders, Smith and Smith was fine, nothing special. Delivery was on time at least.",2022-08-22
178,178,61,48,97,5,en,"Five stars. Williams LLC nailed the Lentil Soup again, still hot and packed carefully.",2024-09-30
179,179,469,16,71,1,en,"Nelson, Graham and Fields used to be reliable but the last few orders have been late and the Quattro Formaggi portion has shrunk.",2024-04-30
180,180,274,42,46,4,en,Fast delivery and the Dish arrived perfectly hot. Great job Olson-Estrada!,2022-10-15
181,181,239,7,93,4,en,"The Spaghetti Carbonara from Castaneda, Day and Weaver was excellent and the courier was friendly and quick. Will order again! Delivery driver even called ahead, nice touch.",2024-04-14
182,182,190,21,53,1,en,Duran PLC used to be reliable but the last few orders have been late and the Vegan Chili portion has shrunk.,2023-09-11
183,183,75,2,34,2,en,"Disappointed with Jackson, Walters and Michael - the Tagliatelle al Ragù arrived cold and the order took much longer than promised. Courier was rude when we asked about the delay.",2024-10-21
184,184,79,13,43,5,en,"Fast delivery and the Diavola arrived perfectly hot. Great job Gallegos, Taylor and West!",2023-02-23
185,185,282,42,88,3,en,"Olson-Estrada got the order right this time, Dish was okay, packaging could be better.",2022-10-11
186,186,329,48,63,1,en,Disappointed with Williams LLC - the Lentil Soup arrived cold and the order took much longer than promised.,2022-07-04
187,187,72,47,70,2,en,Wrong items in the bag - we ordered Caesar Salad and got something else entirely. Refund requested. Courier was rude when we asked about the delay.,2022-07-23
188,188,491,4,68,4,en,Fast delivery and the Diavola arrived perfectly hot. Great job Howell Group!,2024-07-10
189,189,25,49,1,2,en,Wrong items in the bag - we ordered Cheesecake and got something else entirely. Refund requested.,2022-06-01
190,190,363,10,2,2,en,The Dish from Miles Group was soggy by the time it got to us. Not ordering from here again. Courier was rude when we asked about the delay.,2023-07-09
191,191,317,41,86,2,en,"Peters, Golden and Ballard used to be reliable but the last few orders have been late and the Dish portion has shrunk. Courier was rude when we asked about the delay.",2024-09-28
192,192,4,35,71,3,en,"Delivery took about as long as the app estimated. Cobb Salad tasted fine, would order again if nothing closer is open.",2022-01-16
193,193,141,35,37,4,en,The Dish from Ross Group was excellent and the courier was friendly and quick. Will order again! Courier was polite and on time.,2023-07-08
194,194,55,7,68,1,en,"Order was late and the courier never called when they couldn't find our building. Tiramisu was barely warm. Had to track down the courier ourselves, no updates on the app.",2022-09-24
195,195,418,23,35,3,en,"Ellis, Parks and Jimenez got the order right this time, Dish was okay, packaging could be better.",2022-03-28
196,196,290,16,90,1,en,"Disappointed with Nelson, Graham and Fields - the Dish arrived cold and the order took much longer than promised. Courier was rude when we asked about the delay.",2022-11-28
197,197,440,42,98,4,en,Fast delivery and the BBQ Burger arrived perfectly hot. Great job Olson-Estrada!,2022-04-15
198,198,283,31,8,1,en,"Disappointed with Johnson, Roberts and Smith - the Dish arrived cold and the order took much longer than promised.",2022-01-11
199,199,256,28,83,3,en,Average experience. Pepperoni was decent but a bit pricey for the portion size.,2023-09-15
200,200,471,3,30,4,en,"Best Vegan Chili in the area, hands down. Garcia, Pena and Adams never disappoints.",2024-09-15
201,201,24,5,88,5,en,"Best Diavola in the area, hands down. Wallace, Ortiz and Murray never disappoints.",2024-09-15
202,202,476,21,3,4,en,Really happy with this order - Crème Brûlée was fresh and the courier kept us updated the whole way.,2023-10-07
203,203,154,11,73,1,en,Disappointed with Dominguez-Short - the Tofu Stir-Fry arrived cold and the order took much longer than promised.,2023-09-14
204,204,460,35,43,3,en,"Ross Group got the order right this time, Dish was okay, packaging could be better.",2024-04-08
205,205,371,6,65,4,en,"Five stars. Neal, Gomez and Watkins nailed the Tiramisu again, still hot and packed carefully.",2022-03-03
206,206,430,5,44,5,en,"Best Greek Salad in the area, hands down. Wallace, Ortiz and Murray never disappoints. Courier was polite and on time.",2024-04-25
207,207,16,41,35,4,en,"Five stars. Peters, Golden and Ballard nailed the Classic Cheeseburger again, still hot and packed carefully.",2023-06-23
208,208,482,25,56,2,en,Disappointed with Hill-Mckay - the Caesar Salad arrived cold and the order took much longer than promised. Courier was rude when we asked about the delay.,2024-01-18
209,209,396,40,38,3,en,"Delivery took about as long as the app estimated. Ravioli Ricotta e Spinaci tasted fine, would order again if nothing closer is open.",2024-02-21
210,210,79,25,92,1,en,"Hill-Mckay used to be reliable but the last few orders have been late and the Caprese Salad portion has shrunk. Had to track down the courier ourselves, no updates on the app.",2022-06-19
211,211,185,7,12,5,en,Really happy with this order - Dish was fresh and the courier kept us updated the whole way. Courier was polite and on time.,2024-10-31
212,212,390,18,14,3,en,"Hensley, Johnson and Adams got the order right this time, Penne Arrabbiata was okay, packaging could be better.",2022-04-08
213,213,286,36,66,3,en,"Sanders LLC got the order right this time, Falafel Bowl was okay, packaging could be better.",2022-04-26
214,214,284,6,77,5,en,"Best Tiramisu in the area, hands down. Neal, Gomez and Watkins never disappoints. Courier was polite and on time.",2024-05-10
215,215,150,27,50,3,en,Average experience. Grilled Vegetable Skewers was decent but a bit pricey for the portion size.,2024-03-05
216,216,267,11,88,1,en,Wrong items in the bag - we ordered Tofu Stir-Fry and got something else entirely. Refund requested.,2022-07-08
217,217,138,32,19,5,en,Really happy with this order - Classic Cheeseburger was fresh and the courier kept us updated the whole way.,2022-07-04
218,218,154,31,10,2,en,Order was late and the courier never called when they couldn't find our building. Dish was barely warm.,2022-10-03
219,219,321,32,77,4,en,"The Classic Cheeseburger from Jackson, Bowman and Drake was excellent and the courier was friendly and quick. Will order again!",2022-08-05
220,220,156,1,51,3,en,Average experience. Dish was decent but a bit pricey for the portion size.,2024-07-13
221,221,226,22,56,3,en,"The Tagliatelle al Ragù from Sanders, Smith and Smith was fine, nothing special. Delivery was on time at least.",2024-12-04
222,222,165,39,89,4,en,Fast delivery and the Veggie Burger arrived perfectly hot. Great job Meyer-Carrillo!,2023-06-12
